DATE,MRTSSM448USN
1992-01-01,6938
1992-02-01,7524
1992-03-01,8475
1992-04-01,9401
1992-05-01,9558
1992-06-01,9182
1992-07-01,9103
1992-08-01,10513
1992-09-01,9573
1992-10-01,10254
1992-11-01,11187
1992-12-01,18395
1993-01-01,7502
1993-02-01,7524
1993-03-01,8766
1993-04-01,9867
1993-05-01,10063
1993-06-01,9635
1993-07-01,9794
1993-08-01,10628
1993-09-01,10013
1993-10-01,10346
1993-11-01,11760
1993-12-01,18851
1994-01-01,7280
1994-02-01,7902
1994-03-01,9921
1994-04-01,9869
1994-05-01,10009
1994-06-01,9893
1994-07-01,9735
1994-08-01,11157
1994-09-01,10217
1994-10-01,10730
1994-11-01,12354
1994-12-01,20016
1995-01-01,7518
1995-02-01,7961
1995-03-01,9815
1995-04-01,10168
1995-05-01,10620
1995-06-01,10301
1995-07-01,9784
1995-08-01,11264
1995-09-01,10710
1995-10-01,10439
1995-11-01,12751
1995-12-01,20002
1996-01-01,7684
1996-02-01,8991
1996-03-01,10349
1996-04-01,10570
1996-05-01,11405
1996-06-01,10554
1996-07-01,10202
1996-08-01,12134
1996-09-01,10623
1996-10-01,11250
1996-11-01,12875
1996-12-01,19944
1997-01-01,8194
1997-02-01,8835
1997-03-01,10840
1997-04-01,10131
1997-05-01,11505
1997-06-01,10654
1997-07-01,10734
1997-08-01,12461
1997-09-01,10942
1997-10-01,11635
1997-11-01,13244
1997-12-01,21118
1998-01-01,8800
1998-02-01,9499
1998-03-01,10863
1998-04-01,11825
1998-05-01,12239
1998-06-01,11451
1998-07-01,11633
1998-08-01,12971
1998-09-01,11214
1998-10-01,12384
1998-11-01,13854
1998-12-01,22418
1999-01-01,9237
1999-02-01,10171
1999-03-01,12081
1999-04-01,12386
1999-05-01,13167
1999-06-01,12280
1999-07-01,12461
1999-08-01,13734
1999-09-01,12357
1999-10-01,12948
1999-11-01,14643
1999-12-01,24286
2000-01-01,9447
2000-02-01,11170
2000-03-01,12841
2000-04-01,13124
2000-05-01,13735
2000-06-01,12953
2000-07-01,12500
2000-08-01,14610
2000-09-01,13375
2000-10-01,13369
2000-11-01,15675
2000-12-01,24875
2001-01-01,10060
2001-02-01,11450
2001-03-01,13067
2001-04-01,13362
2001-05-01,13787
2001-06-01,12935
2001-07-01,12600
2001-08-01,14818
2001-09-01,12104
2001-10-01,13218
2001-11-01,15352
2001-12-01,24534
2002-01-01,10344
2002-02-01,11730
2002-03-01,13977
2002-04-01,13195
2002-05-01,14150
2002-06-01,13210
2002-07-01,12873
2002-08-01,15113
2002-09-01,12445
2002-10-01,14006
2002-11-01,15911
2002-12-01,25350
2003-01-01,10804
2003-02-01,11662
2003-03-01,13452
2003-04-01,13691
2003-05-01,14730
2003-06-01,13496
2003-07-01,13854
2003-08-01,15522
2003-09-01,13567
2003-10-01,14601
2003-11-01,16555
2003-12-01,26760
2004-01-01,11790
2004-02-01,13344
2004-03-01,14760
2004-04-01,15058
2004-05-01,15379
2004-06-01,14237
2004-07-01,14667
2004-08-01,15588
2004-09-01,14224
2004-10-01,15570
2004-11-01,17230
2004-12-01,28406
2005-01-01,12046
2005-02-01,13878
2005-03-01,15727
2005-04-01,15708
2005-05-01,15989
2005-06-01,15559
2005-07-01,15218
2005-08-01,16697
2005-09-01,14960
2005-10-01,16509
2005-11-01,18402
2005-12-01,30276
2006-01-01,12893
2006-02-01,14474
2006-03-01,16386
2006-04-01,16848
2006-05-01,17103
2006-06-01,16505
2006-07-01,16275
2006-08-01,17832
2006-09-01,16767
2006-10-01,17253
2006-11-01,19391
2006-12-01,31462
2007-01-01,13927
2007-02-01,15077
2007-03-01,18045
2007-04-01,17096
2007-05-01,18474
2007-06-01,17289
2007-07-01,16883
2007-08-01,18850
2007-09-01,16765
2007-10-01,17614
2007-11-01,20550
2007-12-01,30635
2008-01-01,14173
2008-02-01,15876
2008-03-01,17770
2008-04-01,17103
2008-05-01,19084
2008-06-01,17007
2008-07-01,17369
2008-08-01,19041
2008-09-01,15882
2008-10-01,16796
2008-11-01,18756
2008-12-01,26726
2009-01-01,13387
2009-02-01,14684
2009-03-01,15563
2009-04-01,16337
2009-05-01,17264
2009-06-01,15434
2009-07-01,16007
2009-08-01,17656
2009-09-01,15630
2009-10-01,17053
2009-11-01,18332
2009-12-01,27128
2010-01-01,13216
2010-02-01,14816
2010-03-01,17390
2010-04-01,17042
2010-05-01,17727
2010-06-01,16138
2010-07-01,16842
2010-08-01,17923
2010-09-01,16232
2010-10-01,17412
2010-11-01,20003
2010-12-01,28545
2011-01-01,13703
2011-02-01,15931
2011-03-01,18252
2011-04-01,18647
2011-05-01,18771
2011-06-01,17783
2011-07-01,17937
2011-08-01,19263
2011-09-01,17999
2011-10-01,18255
2011-11-01,20957
2011-12-01,31108
2012-01-01,14358
2012-02-01,17931
2012-03-01,20162
2012-04-01,18601
2012-05-01,19952
2012-06-01,18717
2012-07-01,18266
2012-08-01,20750
2012-09-01,18391
2012-10-01,18845
2012-11-01,22016
2012-12-01,31504
2013-01-01,15173
2013-02-01,17408
2013-03-01,20605
2013-04-01,19209
2013-05-01,20815
2013-06-01,18976
2013-07-01,19211
2013-08-01,21597
2013-09-01,18144
2013-10-01,19889
2013-11-01,22478
2013-12-01,31657
2014-01-01,15232
2014-02-01,17566
2014-03-01,20136
2014-04-01,20391
2014-05-01,21645
2014-06-01,19024
2014-07-01,19902
2014-08-01,22073
2014-09-01,18707
2014-10-01,20289
2014-11-01,23573
2014-12-01,32798
2015-01-01,15854
2015-02-01,18093
2015-03-01,20835
2015-04-01,20485
2015-05-01,22260
2015-06-01,19781
2015-07-01,20694
2015-08-01,22452
2015-09-01,19266
2015-10-01,20794
2015-11-01,23175
2015-12-01,33590
2016-01-01,15775
2016-02-01,19032
2016-03-01,21581
2016-04-01,20514
2016-05-01,21774
2016-06-01,20274
2016-07-01,20782
2016-08-01,22505
2016-09-01,19928
2016-10-01,20650
2016-11-01,23826
2016-12-01,34847
2017-01-01,15921
2017-02-01,18036
2017-03-01,21348
2017-04-01,21154
2017-05-01,21954
2017-06-01,20623
2017-07-01,20792
2017-08-01,22768
2017-09-01,19899
2017-10-01,20457
2017-11-01,24543
2017-12-01,33901
2018-01-01,15803
2018-02-01,18451
2018-03-01,22249
2018-04-01,20516
2018-05-01,23641
2018-06-01,21337
2018-07-01,21745
2018-08-01,23136
2018-09-01,19826
2018-10-01,21265
2018-11-01,25446
2018-12-01,34067
2019-01-01,16223
2019-02-01,18032
2019-03-01,22148
2019-04-01,21582
2019-05-01,23152
2019-06-01,21175
2019-07-01,21800
2019-08-01,23906
2019-09-01,19606
2019-10-01,21471
2019-11-01,25246
2019-12-01,35196
2020-01-01,16831
2020-02-01,19208
2020-03-01,10958
2020-04-01,2761
2020-05-01,8696
2020-06-01,16260
2020-07-01,17567
2020-08-01,18694
2020-09-01,18449
2020-10-01,19764
2020-11-01,20905
2020-12-01,31329
2021-01-01,15385
2021-02-01,16102
2021-03-01,23616
2021-04-01,23115
2021-05-01,25886
2021-06-01,24618
2021-07-01,25219
2021-08-01,25063
2021-09-01,22592
2021-10-01,24366
2021-11-01,28725
2021-12-01,39375
2022-01-01,18113
2022-02-01,20509
2022-03-01,25622
2022-04-01,25904
2022-05-01,26831
2022-06-01,25031
2022-07-01,25214
2022-08-01,26376
2022-09-01,23941
